id	author	page	piece of text	concept	reference page	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	author position	analytic stylistic category	synthetic stylistic category	major stylistic category	minor stylistic category	aestheticity
2.8			Nor is Menard's a quotation of the original		36			Tentativo in negativo di definizione del prodotto di Menard: non è una citazione				Vd: synthetic stylistic category; 1			
2.9			Again, his cannot be easily assimilated to the concept of imitation		37			Tentativo in negativo di definizione del prodotto di Menard: non è un'imitazione				Vd: synthetic stylistic category; 1			
2.10			Finally, I think, Menard's work cannot be considered a repetition of Cervantes'		38			Tentativo in negativo di definizione del prodotto di Menard: non è una ripetizione				Vd: synthetic stylistic category; 1			
2.11			the bounday of ultimate concern to us - namely what separates any work from a mere object		39			Tentativo in negativo di definizione del prodotto di Menard: la sua storia causale determina ontologicamente un ente	La preoccupazione è tracciare i confini tra i vari enti e dunque compiere una classificazione ontologica			Vd: synthetic stylistic category; 1			
2.12			ours being a prior question of the ontological difference between artworks and their nonartistic counterparts		42			Critica al purismo estetico: presentazione della posizione di Goodman	Vd: gloss; 2.4; 2.11			Vd: synthetic stylistic category; 1			
2.13			the serious ontological question, namely that of deciding which is which between artworks and nonartworks		43			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente	Vd: gloss; 2.11			Vd: synthetic stylistic category; 1			
3				Ontologia					Vd: gloss; 1			Vd: synthetic stylistic category; 1			
3.1			ours being a prior question of the ontological difference between artworks and their nonartistic counterparts		42			Critica al purismo estetico: presentazione della posizione di Goodman	Qui abbiamo una dichiarazione di intenti			Vd: synthetic stylistic category; 1			
3.2			So it is almost a problem in psychophysics rather than one in ontology		42			Critica al purismo estetico: presentazione della posizione di Goodman		Prospettiva che l'autore critica		Vd: synthetic stylistic category; 1			
3.3			the serious ontological question, namely that of deciding which is which between artworks and nonartworks		43			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente	Vd: gloss; 3.2			Vd: synthetic stylistic category; 1			
4				Contesto storico					Contesto storico significa in primis contesto teorico-culturale						
4.1						Il contesto storico determina e rende possibile l'operazione di causazione dell'autore	Autore								
4.1.1			Cervantes "opposes to the fiction of chivalry the tawdry provincial reality of his country." Menard on the other hand (on the other hand!) selects for its reality "the land of Carmen during the century of Lepanto and Lope de Vega." These are of course descriptions of the same place and time, but the mode of referring to them belongs to different times: it would not have been feasible for Cervantes to refer to Spain as "the land of Carmen", Carmen being a nineteenth-century literary personality familiar, of course, to Menard		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?			Analitico: propone uno scenario e ne analizza le singole parti per chiarirlo				
4.1.2			It would have been ridiculous for Menard to have opposed the fiction of chivalry since that literature had already long since been demolished by Cervantes; and though Menard was perhaps making an oblique characterization of Salambô as a piece of historical fiction, no such intention would have been possible for Cervantes, who was after all a contemporary of Shakespeare		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?			Vd: analytic stylistic category; 4.1.1				
4.1.3			Moreover, Menard is conscious of his predecessor as a predecessor		36			Tentativo in negativo di definizione del prodotto di Menard: non è una copia	Il fatto che Menard conosca l'opera di Cervantes (e, dunque, che l'opera di Cervantes sia già stata scritta) rende possibile al primo produrre l'opera che Borges immagina produca						
4.1.4			It is not clear that Cezanne could even have framed the intention to make an artwork this way, since the concept through which the intention could have been formed was not such as to allow its formation at that point. But Picasso was famous for transfigurations of the commonplace. He had made the head of a chimpazee out of a child's toy; a goat's thorax out of an old wicker baslet; a bull's head out of bicycle parts; a Venus out of a gasjet - and so why not the ultimate transfiguration, an artwork out of a thing, "Cravat" out of a necktie? There was a room in the space of the artworld by then and in the internal structure of Picasso's corpus, which did so much to define the space of the artworld, for such an object by Picasso there and then. Cezanne, however staggeringly original whitin the boundaries of painting, had only the option of exploring the territory the boundaries circumscribed whitout transforming the boundaries themselves, and had only the option of making apples and mountains out of paint		47			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera			Vd: analytic stylistic category; 4.1.1	Nominale: traccia confini ontologici 			
4.2						Il contesto storico, influenzando l'autore (Vd: relation to concept#2; 3.1) e dunque la sua operazione di causazione, permette la formazione di certi contenuti proposizionali che vengono depositati nell'opera	Contenuto dell'opera								
4.2.1			it was a repudiation of painterliness (le peinture), of that apotheosis of paint-and-brushstroke (or drip) which defined New York painting of the 1950s as a movement.		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?	L'affermazione di Picasso è resa possibile dal contesto in cui Picasso opera						
4.2.2			What, one may ask, is the subject of "Cravat"? Or has it a subject? In a way, one wants to say: this too is an historical question and in part at least depends upon what subject Picasso supposed it had		47			Struttura essenziale dell'opera: l'opera ha un contenuto		Tesi dell'autore					
4.3						Il contesto storico, influenzando l'autore (Vd: relation to concept#2; 3.1) e dunque la sua operazione di causazione, detta alcune condizioni causali che rendono certi prodotti opere d'arte	Struttura dell'opera								
4.3.1			Close attention to the relationship between his work and that of Cervantes brings to light a number of deeply interesting relationships between the identity of a work and the time and place and provenance of the work, so much su that identification of its subject and style cannot be effected in complete historical abstraction		39			Tentativo in negativo di definizione del prodotto di Menard: necessità di indagare la storia causale di un ente		Tesi dell'autore					
4.3.2			In part, the answer to the question has to be historical. Not everything is possible at every time, as Heinrich Wölflin has written, meaning that certain artworks simply could not be inserted as artworks into certain periods of art history, though it is possible that objects identical to artworks could have been made at that period		44			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera				Nominale: specifica che cosa determina l'essenza			
4.3.3			Duchamp's snowshovel was pretty banal in the early twentieth century, simply because chosen from the set of indiscernible industrial products from a shovel factory, with its peer to be found in garages throughout the bourgeois world. But the identical object - a curved sheet of metal attached to a wooden stick at the other terminus of which was a shape like today's snowshovel handle - would have been, I should think, a deeply mysterious object in the thirteenth century; but it is doubtful that i could have been absorbed into the artworld of that period and place		44			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera			Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
4.3.4			And it is not difficult to conceive of objects which, though thay would not have been works of art at the time they were made, can have in a later period objects precisely like them which are works of art		44			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera							
4.3.5			A sculptor who produced an archaic torso of Apollo in the period of Praxiteles would have gone hungry, since the artworld by then had evolved so as to exclude this as a possible artwork unless it has been made when appropriate, and lingered on as an antique. The artworld of the period would have excluded from the expressive vocabolary of its contemporaries the deliberate exploitation of archaic forms, in contrast with the situation today when, if an artist should choose to employ archaic forms, this would be tolerated; but of course if someone uses limestone stele today, they could hardly have the same meaning as they would have had when Stonehenge was new. And if today an artist exhibits a painting in the syle of Watteau, we should hesitate before declaring him out of date: this may be a self-conscious archaism, in which case he stands in a very different relationship to the Rococco style than Watteau would have done		45			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera	Il contesto storico influenza ogni componente della struttura dell'opera (significato e rappresentazione)		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
4.3.6			In any case, it is for reasons of historical possibility such as these that the identical object could have been an artwork from the hands of Picasso - but not from Cezanne		46			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera		Tesi dell'autore		Vd: synthetic stylistic category; 4.1.4			
5				Autore											
5.1						I contenuti mentali dell'autore sono depositati nell'opera e divengono i contenuti dell'opera	Contenuto dell'opera								
5.1.1			Cervantes "opposes to the fiction of chivalry the tawdry provincial reality of his country." Menard on the other hand (on the other hand!) selects for its reality "the land of Carmen during the century of Lepanto and Lope de Vega."		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	I diversi modi di intendere il medesimo luogo e la medesima epoca utilizzati da Cervantes e Menard danno luogo a due contenuti differenti		Vd: analytic stylistic category; 4.1.1				
5.1.2			But in any case, if Menard were quoting that work, what his would be about would just be the book of Cervantes rather than "the land of Carmen in the century of Lepanto and Lope de Vega"		37			Tentativo in negativo di definizione del prodotto di Menard: non è una citazione	Da Menard dipende il contenuto del suo prodotto: se volesse citare il libro di Cervantes, si avrebbe una citazione del libro di Cervantes. Menard vuole dire qualcosa circa la terra di Carmen nel secolo di Lepanto e Lope de Vega e questo diviene il contenuto del suo prodotto		Vd: analytic stylistic category; 4.1.1				
5.1.3			In any case, let us suppose that just before his death, at the crowning work of his already amazing corpus, Picasso himself had made a tie, which I shall describe this way: Picasso, who of course had not worn one for years, found one of his old ties and painted it a bright blue all over. The paint was applied smoothly and carefully, and every trace of brushstroke was purged: it was a repudiation of painterliness (le peinture), of that apotheosis of paint-and-brushstroke (or drip) which defined New York painting of the 1950s as a movement.		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?	Picasso pensa che il modo di dipingere diffuso a New York negli anni '50 fosse da ripudiare e crea un'opera per "affermare" la sua teoria						
5.1.4			What, one may ask, is the subject of "Cravat"? Or has it a subject? In a way, one wants to say: this too is an historical question and in part at least depends upon what subject Picasso supposed it had		47			Struttura essenziale dell'opera: l'opera ha un contenuto		Tesi dell'autore					
5.1.5			So Picasso's tie and Cezanne's tie have no subject, but the force of saying this is different in the two cases. In the one case, the work lacks a subject because Picasso willed that it not have one. In the other case, it lacks one because it is logically of the wrong sort to have one, being only a thing (if also an artifact)		47			Struttura essenziale dell'opera: l'opera ha un contenuto	La negazione di un contenuto da parte di un autore è sempre un contenuto	Tesi dell'autore	Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
5.2						L'autore (soggetto storico) è il titolare del processo di produzione dell'opera: sceglie il contenuto che il prodotto avrà e poi lo rappresenta	Causazione		L'unica restrizione che Danto sembra ammettere al potere causale dell'autore è quella del contesto storico: l'autore è inserito nel contesto storico e teorico-culturale in cui si trova e deve rispettarne le leggi storiche per le quali non tutto è possibile in ogni momento						
5.2.1			Moreover, Menard is conscious of his predecessor as a predecessor: his is not the sort of case illustrated by Robin who discovered that one of his Ombres from the Porte d'Enfer was an exact replica, rotated through ninety degrees, of the figure of Adam on the Sistine ceiling, sketched and admired by Rodin forty years earlier on a pilgrimage to Italy. Menard did not discover that what he had written was word for word what Cervantes had set down. His aim was to recreate a work already well known to him. So what he produced was a work and his		36			Tentativo in negativo di definizione del prodotto di Menard: non è una copia			Vd: analytic stylistic category; 4.1.1				
5.2.2			In any case, let us suppose that just before his death, at the crowning work of his already amazing corpus, Picasso himself had made a tie, which I shall describe this way: Picasso, who of course had not worn one for years, found one of his old ties and painted it a bright blue all over. The paint was applied smoothly and carefully, and every trace of brushstroke was purged: it was a repudiation of painterliness (le peinture), of that apotheosis of paint-and-brushstroke (or drip) which defined New York painting of the 1950s as a movement		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?	Con questo caso immaginario Danto mostra in che modo l'autore è titolare del processo di causazione: ha un contenuto (repudiation of painterliness) che deve rappresentare (the paint was applied smoothly and carefully)						
5.3						L'autore può modificare il contesto storico in cui egli stesso opera	Contesto storico								
5.3.1			There was a room in the space of the artworld by then and in the internal structure of Picasso's corpus, which did so much to define the space of the artworld, for such an object by Picasso there and then.		47			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera							
5.4						L'autore sceglie le proprietà percettive che meglio possono rappresentare il contenuto	Proprietà percettive								
5.4.1			the absence, in this instance the deliberate absence, of Giottesque perspective in the Strozzi altarpiece		50			Alcune considerazioni sul rapporto tra contesto storico, intenzione dell'autore e contenuto dell'opera	L'autore, titolare del processo di causazione, sceglie la modalità di rappresentazione del contenuto che deposita nell'opera						
5.5						L'autore in quanto titolare del processo di causazione deve creare in creare in maniera adeguata: deve rappresentare intenzionalmente il contenuto concettuale-predicativo che deposita nell'opera	Struttura dell'opera								
5.5.1			So let us imagine that a child gets hold of one of his father's ties and covers it with blue paint, which he makes as smooth as possible with blue paint from the same company (Sapolin) which manufactured the paint Picasso used, "to make it nice" as he explains. I would hesitate to predict a glorious artistic future for this child merely on the grounds that he had produced an entity indiscernible from one turned out by the greatest master of modern times. It is not as if the child had covered the walls of the living room with something not to be told apart from the Legend of the True Cross. I am prepared to go further and insist that even though there is the sort of indiscernibility our examples require, what the child has effected is not an artwork		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?	Il bambino non afferma nulla circa alcunché e, dunque, non produce un qualcosa di artistico			Vd: synthetic stylistic category; 4.1.4			
6				Contenuto dell'opera											
6.1						Il contenuto dell'opera viene rappresentato (per opera dell'autore) tramite alcune proprietà percettive: la modalità di rappresentazione rimanda al contenuto dell'opera (non ha un significato di per sé: può significare contenuti diversi)	Proprietà sensibili								
6.1.1			The paint was applied smoothly and carefully, and every trace of brushstroke was purged: it was a repudiation of painterliness		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?							
6.1.2			Let us, this established, suppose that the Picasso tie indeed has a subject, and let us further suppose, in view of the way in which I descrived the smoothing out of all that blue paint, that part of what the work is about is painting. In the painting of the 1950s, the brushstroke was fo such preeminent importance, because is immediately conveyed the action of depositing itself on the canvas, that it would have been unthinkable to conceal it, say in the manner of the glassy surfaces of academic painting of a certain era. And since painting was virtually defined as action - action was the cause and substance of these works - the brushstroke was a deeply charged emblem		50			Alcune considerazioni sul rapporto tra contesto storico, intenzione dell'autore e contenuto dell'opera							
6.1.3			the significance of smooth paint in Cravat		50			Alcune considerazioni sul rapporto tra contesto storico, intenzione dell'autore e contenuto dell'opera	La vernice ha un significato, ma non di per sè: è il significato che il contenuto dell'opera "afferma" e viene rappresentato con le proprietà percettive						
6.2						Il contenuto è un elemento strutturale delle opere d'arte: un'opera è la rappresentazione di un contenuto e, dunque, deve avere un contenuto per essere tale	Struttura dell'opera								
6.2.1			What, one may ask, is the subject of "Cravat"? Or has it a subject? In a way, one wants to say: this too is an historical question and in part at least depends upon what subject Picasso supposed it had. Suppose, however, that he denied, in the boorish manner of J at the beginning of our exploration, that it had any subject. I want to accept that answer, and apply to it considerations briefly alluded to at the beginning. Perhaps it does not have a subject, but the question of what its subject is, is not ruled out and rejected out of hand. The request for its subject would, in the case of what the child wrought, be rejected out of hand. To be sure, it may have significance as a gesture, revealing deep oedipal hostility toward the father (think of the sexual symbolism of the necktie!) and so be an expression of that; but though it is a sympton of something, it not a thing with a subject		47			Struttura essenziale dell'opera: l'opera ha un contenuto	Il contenuto dell'opera deve esservi depositato intenzionalmente (e non inconsciamente) e deve essere di tipo concettuale-predicativo: l'opera sembra a una sorta di asserzione o negazione circa qualcosa		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
6.2.2			Or, if the case is too marginal, at least the paintrag of Cezanne does not have a subject, being merely a paint-covered thing. So Picasso's tie and Cezanne's tie have no subject, but the force of saying this is different in the two cases. In the one case, the work lacks a subject because Picasso willed that it not have one. In the other case, it lacks one because it is logically of the wrong sort to have one, being only a thing (if also an artifact)		47			Struttura essenziale dell'opera: l'opera ha un contenuto	L'elemento del contenuto concettuale-predicativo è cruciale per la definizione dell'opera: è un elemento non sensibili che la distingue dalle mere cose		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
6.2.3			There is an analogy to this elsewhere: asked his reason for raising his arm, an agent may answer that there was no reason, that he merely did it, apropos de rien, with no ulterior motive. He may be wrong - there may be, may always be, a hidden reason - but if he is right, he is giving a negative answer to a question, not, as it were, negating the question. The question is allowed application, but within its range no positive answer is available. By contrast, if a man's arm moves in such a way that it cannot be reckoned an action, but is a spasm of some order, or merely happens to occur for causes of an unknown order, then, because it appears to us to have been an action, we might again ask why; and when he says there was no reason, he would exluding it from the domain within which the question applies, negating, as just said, the question as such. The relationship then between an artwork and a thing just like it is in this respect analogous to the difference between a basic action and a bodily movement just like it, to all outward appearances		48			Struttura essenziale dell'opera: l'opera ha un contenuto	Vd: gloss; 6.2.1	Tesi dell'autore	Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
6.2.4			Let us now return, before considering the other two ties, to the case of the fortuitous splat that looks like the Polish Rider. Once more we may ask what it is about, what its subject is, and the answer is (I should think) that it has no subject, though there might seem an argument to the effect that, given parity of form with the Polish Rider, it should be about whatever the Polish Rider is about, and ambiguous if the latter is ambiguous. But of course it is not even clear that the splat has any structure, even if it is congruent with an object - the Polish Rider itself - which has one; and even if if did, it would be far from plain that it inherits meaning from its structural counterpart		48			Struttura essenziale dell'opera: l'opera ha un contenuto	L'elemento del contenuto concettuale-predicativo è cruciale per la definizione dell'opera: è uno degli elementi non sensibili che la distingue dalle mere cose		Vd: analytic stylistic category; 4.1.1				
7				Causazione											
7.1						La causazione di un ente ne definisce la struttura: nel caso dell'opera, la giusta storia causale la rende tale (in ogni sua componente) e non un altro ente con una struttura diversa	Struttura dell'opera		la scelta di dare tanta importanza al concetto di causa, che è un concetto tradizionalmente metafisico, è un'altra dichiarazione di intenti da parte di Danto: la sua è un'indagine ontologica			Vd: synthetic stylistic category; 4.3.2			
7.1.1			It is not just that the books are written at different times by different authors of different nationalities and literary intentions: these facts are not external ones; they serve to characterize the work(s)		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?		Tesi dell'autore		Vd: synthetic stylistic category; 4.3.2			
7.1.2			That is to say, the works are in part constituted by their location in the history of literature as well as by their relationship to their authors, and as these are often dismissed by critics who urge us to pay attention to the work itself, Borges' contribution to the ontology of art is stupendous: you cannot isolate these factors from the work since they penetrate, so to speak, the essence of the work		36			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?		Tesi dell'autore		Vd: synthetic stylistic category; 4.3.2			
7.1.3			Menard did not discover that what he had written was word for word what Cervantes had set down. His aim was to recreate a work already well known to him. So what he produced was a work and his: it was not a copy therefore, since any fool could copy Cervantes' work and the result would be just that, a copy that would have only the literary value of the original. It would require only those skills required by facsimilitation; the copyst would be merely a mechanism of duplication, like a xerox machine		36			Tentativo in negativo di definizione del prodotto di Menard: non è una copia	Il processo di causazione deve essere adeguato: deve dare luce a tutti gli elementi che fanno parte della struttura dell'opera		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
7.1.4			Nor, again, was he copying himself. We judge a copy by how accurate it is, and if someone were to criticize one of these paintings of paintings on the grounds that it was inaccurate, Burliuk might have laughed; the question of accuracy cannot arise when the painting in question is not to begin with an attempted copy		38			Tentativo in negativo di definizione del prodotto di Menard: non è una ripetizione			Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
7.1.5			So let us imagine that a child gets hold of one of his father's ties and covers it with blue paint, which he makes as smooth as possible with blue paint from the same company (Sapolin) which manufactured the paint Picasso used, "to make it nice" as he explains. I would hesitate to predict a glorious artistic future for this child merely on the grounds that he had produced an entity indiscernible from one turned out by the greatest master of modern times. It is not as if the child had covered the walls of the living room with something not to be told apart from the Legend of the True Cross. I am prepared to go further and insist that even though there is the sort of indiscernibility our examples require, what the child has effected is not an artwork		40			Caso cravatte: perché enti percettivamente indiscernibili sono ontologicamente diversi?	Vd: gloss; 7.1.3			Vd: synthetic stylistic category; 4.1.4			
7.1.6			Its being a forgery, one would think, has something to do with its history, with the way in which it arrived in the world. And to call something an artwork is at least to deny that sort of history to it		44			Critica al purismo estetico: la sua storia causale (e non le sue proprietà percettive) determina ontologicamente un ente	L'essere un determinato ente si deve all'avere una certa storia causale			Vd: synthetic stylistic category; 4.3.2			
7.1.7			It is of more than incidental interest that none of the artists just mentioned could as a matter of artistic fact have created the work we are pretending was created by Picasso. The fact bears mention because it is not, as with J, simply that he happens to have been an artist that Picasso's necktie, but not that of the child, is a work of art, for the thing has to stand in the right relationship to the person who cause it to come into existence, even if he or she happens to be an artist		44			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera	Vd: gloss; 7.1.3		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.3.2			
7.1.8			In any case, it is for reasons of historical possibility such as these that the identical object could have been an artwork from the hands of Picasso - but not from Cezanne, who just happened, let us suppose, with his characteristic meticulousness, to have used this particular piece of cloth as a paintrag (we know that he wiped his brush after each stroke) and, because of his equally celebrated parsimony, did not throw it away until he had completely used it up, the result being a tie-shaped cloth covered from edge to edge with the same blue Picasso may be supposed to have used to execute his work		46			Struttura essenziale dell'opera: come il contesto storico e l'intenzione dell'autore determinano la struttura dell'opera	Vd: gloss; 7.1.3		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
7.1.9			Let the snapshot be a photograph of the World Trade Cetner. We know pretty much what conditions must hold for the description to be true: it must resemble the World Trade Center itself, from whatever angle is relevant. But more than this, it must be caused by the World Trade Center itself, radiations from which interact photochemically with the treated paper to produce just that pattern of darks and lights. Now imagine next to this a piece of photographic paper bearing the identical pattern of darks and lights, but let this one not be caused by the World Trade Center. Perhaps it materialized mysteriously on the paper. Perhaps it was the result of accidentally tripping the shutter while the camera was pointed toward the water off Cape Canaveral, and by that sort of coincidence upon which we are bit by bit erecting a philosophy of art, the result looks exactly like the photograph of the World Trace Center. But it is not that, because the causal condition for being that fails. The differently caused photograph is of something different from our first photograph, and it is possible to imagine causal histories inconsistent with claiming that the photograph is of anything at all, hence with claiming it in the first place to be a snapshot		49			Struttura essenziale dell'opera: la storia causale determina la struttura dell'opera	Vd: gloss; 7.1.3		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
7.1.10			certain things which exactly resemble one another may not be of the same thing, or one of them may be of something only if the right causal history is presupposed while its counterpart may not be of anything at all		49			Struttura essenziale dell'opera: la storia causale determina la struttura dell'opera		Tesi dell'autore		Vd: synthetic stylistic category; 4.3.2			
7.1.11			This would then be one reason why Cezanne, even had his necktie been a work of art, could not have it mean what Picasso's means, since the relevant events were in his future and could not form a possible subject for art. And it would equally be a reason why the child's necktie could not mean, supposing it has a meaning, what Picasso's tie does; the child could not be expected to have internalized the recent history of the artworld, or to appreciate the mad polemics of the brushmark. It is not just that the shape of art history must change before such statements are possible, but that one must have internalized that history if one is to make that sort of statement		51			Alcune considerazioni sul rapporto tra contesto storico, intenzione dell'autore e contenuto dell'opera		Tesi dell'autore		Vd: synthetic stylistic category; 4.3.2			
7.1.12			The status of the forgery, in this perspective, perhaps is only this, that it too stands in the wrong relation to its maker to be supposed a statement of his: it only pretends to be a statement of someone else's, namely Picasso. Forgers have varieties of motives. Van Meegeren wanted to prove that he could paint as well as Vermeer, but we would hardly suppose that this is a statement he makes by means of his emulation of Vermeer, only a statement he could justify on the basis of his trumperies. And whatever statement Vermeer might have made had he made it through the paintings in fact confected by Van Meegeren, these cannot be the statements made by means of these paintings since they were not painted by Vermeer. Van Meegeren is after all in a different position altogether from an artist who happened, in 1935 or whenever, to paint in the manner of Veermer and to make whatever statement such deliberate stylistic anachronisms would enable a painter to make: perhaps a statement about the decadence of the Dutch art of the time		51			Alcune considerazioni sul rapporto tra contesto storico, intenzione dell'autore e contenuto dell'opera	Vd: gloss; 7.1.3		Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
7.2						Una storia causale adeguata permette la formazione di un contenuto dell'opera adeguato	Contenuto dell'opera								
7.2.1			Or, if the case is too marginal, at least the paintrag of Cezanne does not have a subject, being merely a paint-covered thing. So Picasso's tie and Cezanne's tie have no subject, but the force of saying this is different in the two cases. In the one case, the work lacks a subject because Picasso willed that it not have one. In the other case, it lacks one because it is logically of the wrong sort to have one, being only a thing (if also an artifact)		47			Struttura essenziale dell'opera: l'opera ha un contenuto			Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
7.2.2			There is an analogy to this elsewhere: asked his reason for raising his arm, an agent may answer that there was no reason, that he merely did it, apropos de rien, with no ulterior motive. He may be wrong - there may be, may always be, a hidden reason - but if he is right, he is giving a negative answer to a question, not, as it were, negating the question. The question is allowed application, but within its range no positive answer is available. By contrast, if a man's arm moves in such a way that it cannot be reckoned an action, but is a spasm of some order, or merely happens to occur for causes of an unknown order, then, because it appears to us to have been an action, we might again ask why; and when he says there was no reason, he would exluding it from the domain within which the question applies, negating, as just said, the question as such. The relationship then between an artwork and a thing just like it is in this respect analogous to the difference between a basic action and a bodily movement just like it, to all outward appearances		48			Struttura essenziale dell'opera: l'opera ha un contenuto		Tesi dell'autore	Vd: analytic stylistic category; 4.1.1	Vd: synthetic stylistic category; 4.1.4			
